index,sitemap_url,base_url,base_uri,space,count,Headless?,cdf_membership,name,domain,notes,logo,re3,summary
edi,https://portal.edirepository.org/sitemap_index.xml,https://portal.edirepository.org/nis/mapbrowse?packageid=,,5f7cb835e4b018b1752f2b8c,28248,,active,Environmental Data Initiative,http://environmentaldatainitiative.org/ ,had2map from sitemap to diff urls,https://portal.edirepository.org/nis/images/EDI-logo-300DPI_5.png,http://www.re3data.org/repository/r3d100010272,"The Environmental Data Initiative is an NSF-funded project meant to accelerate curation and archive of environmental data, emphasizing data from projects funded by the NSF Division of Environmental Biology. Aside from hosting the LTER data repository and collaborating with the LTER Information Managers, EDI serves the ecological research community including but not limited to research funded by the Long Term Research in Environmental Biology (LTREB), Organization for Biological Field Stations (OBFS), and Macrosystems Biology (MSB). The Environmental Data Initiative maintains and develops the PASTA infrastructure for its data repositories, and has recently become DataONE’s 40th member node.
"
bco-dmo,https://www.bco-dmo.org/sitemap.xml,http://www.bco-dmo.org/dataset,,5f7cb7c5e4b018b1752f2b78,5018,,active,Biological and Chemical Oceanography Data Management Office,http://www.bco-dmo.org/,,https://www.bco-dmo.org/sites/all/themes/bcodmo/logo.png,http://www.re3data.org/repository/r3d100000012,"The Biological and Chemical Oceanography Data Management Office (BCO-DMO) was created in late 2006 to serve PIs funded by the NSF Geosciences Directorate (GEO) Division of Ocean Sciences (OCE) Biological and Chemical Oceanography Programs and Office of Polar Programs (OPP) Antarctic Sciences (ANT) Organisms & Ecosystems Program. The BCO-DMO is a combination the Data Management Offices formerly created to support the US JGOFS and US GLOBEC programs. The BCO-DMO staff members are the curators of the legacy data collections created by those respective programs, as well as many other more recent research efforts including those of individual investigators."
hydroshare,https://www.hydroshare.org/sitemap-resources.xml,https://www.hydroshare.org/resource,,5f72574fe4b01e808c79c162,4185,,active,"Consortium of Universities for the Advancement of Hydrologic Science, Inc. (CUAHSI)",https://www.cuahsi.org/,,https://www.hydroshare.org/static/img/logo-lg.png,http://www.re3data.org/repository/r3d100010082,"CUAHSI's Hydrologic Information System (CUAHSI-HIS) provides web services, tools, standards and procedures that enhance access to more and better data for hydrologic analysis"
iedadata,http://get.iedadata.org/doi/xml-sitemap.php,http://get.iedadata.org/doi,,5f73a800e4b044a97a381ed9,7147,,active,IEDA (Integrated Earth Data Applications),http://www.iedadata.org/,,https://www.iedadata.org/wp-content/themes/IEDA/assets/img/logo.png,http://www.re3data.org/repository/r3d100010578,"IEDA is a community-based facility that serves to support, sustain, and advance the geosciences by providing data services for observational Geoscience data from the Ocean, Earth, and Polar Sciences. IEDA welcomes and encourages investigators to contribute their data to the IEDA collections so that the data can be discovered and reused by a diverse community now and in the future. The IEDA collections are: EarthChem, Geochron, System for Earth Sample Registration (SESAR), Marine Geoscience Data System (MGDS), and USAP Data Center. Meta-Search provided on the portal through IEDA Data Browser http://www.iedadata.org/databrowser ."
opentopography,https://opentopography.org/sitemap.xml,https://portal.opentopography.org/lidarDataset?opentopoID=,,5f732bdbe4b01e808c8230f4,,,active,OpenTopography,http://www.opentopography.org/,no jsonld,https://opentopography.org/sites/opentopography.org/files/ot_transp_logo_2.png,http://www.re3data.org/repository/r3d100010655,"OpenTopography facilitates community access to high-resolution, Earth science-oriented, topography data, and related tools and resources. The OpenTopography Facility is based at the San Diego Supercomputer Center at the University of California, San Diego and is operated in collaboration with colleagues in the School of Earth and Space Exploration at Arizona State University. Core operational support for OpenTopography comes from the National Science Foundation Earth Sciences: Instrumentation and Facilities Program (EAR/IF) and the Office of Cyberinfrastructure. In addition, we receive funding from the NSF and NASA to support various OpenTopography related research and development activities."
unavco,https://www.unavco.org/data/doi/sitemap.xml,https://www.unavco.org/data/doi,,5f7266e3e4b01e808c7a56c8,5086,,active,UNAVCO,http://www.unavco.org/,,https://www.unavco.org/lib/images/banner/uv-logo.png,http://www.re3data.org/repository/r3d100010872,"UNAVCO promotes research by providing access to data that our community of geodetic scientists uses for quantifying the motions of rock, ice and water that are monitored by a variety of sensor types at or near the Earth's surface. After processing, these data enable millimeter-scale surface motion detection and monitoring at discrete points, and high-resolution strain imagery over areas of tens of square meters to hundreds of square kilometers. The data types include GPS/GNSS, imaging data such as from SAR and TLS, strain and seismic borehole data, and meteorological data. Most of these can be accessed via web services. In addition, GPS/GNSS datasets, TLS datasets, and InSAR products are assigned digital object identifiers."
ssdb.iodp,https://ssdb.iodp.org/dataset/sitemap.xml,https://ssdb.iodp.org/dataset,https://ssdb.iodp.org/secureGetObj.php?id=,5f728495e4b01e808c7dc040,5344,,,IODP Site Survey Databank,https://ssdb.iodp.org/,,http://ssdb.iodp.org/images/head_logo_PRO.gif,,The Site Survey Data Bank (SSDB) is a repository for site survey data submitted in support of International Ocean Discovery Program (IODP) proposals and expeditions. SSDB serves different roles for different sets of users
balto,http://balto.opendap.org/opendap/site_map.txt ,http://balto.opendap.org/opendap/data,,5f7cb9d5e4b018b1752f2bf2,89,,,Balto,http://balto.opendap.org,no description,http://balto.opendap.org/opendap/docs/images/logo.png,,"Driven by data-rich use cases that span geodesy, geodynamics, seismology, and ecohydrology, the BALTO project will enable brokered access to diverse geoscience data, including data that have been collected/organized by individual scientists in novel or unusual forms, also known as “long-tail” datasets."
linked.earth,http://wiki.linked.earth/sitemap.xml,http://wiki.linked.earth,,5f7cba71e4b018b1752f2c07,,,,Linked Earth,http://wiki.linked.earth,.nt &now rdfa but not much info,http://wiki.linked.earth/wiki/images/thumb/5/51/EarthLinked_Banner_blue_NoShadow.jpg/440px-EarthLinked_Banner_blue_NoShadow.jpg,,"The LinkedEarth wiki is an EarthCube-funded platform that: enables the curation of publicly-accessible database by paleoclimate experts, and"
iris,http://ds.iris.edu/files/sitemap.xml,http://ds.iris.edu/ds,,5f734863e4b01e808c823533,28,,,IRIS,http://iris.edu,,http://ds.iris.edu/static/img/layout/logos/iris_logo_shadow.png,,"fosters the development of standards, so paleoclimate data are easier to analyze, share, and re-use."
ucar,https://data.ucar.edu/sitemap.xml,https://data.ucar.edu/dataset,,5f727055e4b01e808c7b0b01,11672,,,UCAR,https://data.ucar.edu,,https://opensky.ucar.edu/islandora/object/opensky%3Aucommunity/datastream/TN/view,,OpenSky is the home for NCAR/UCAR research and historical materials as well as other collections of digital assets. Our mission is to provide free and open access to the scientific output and other intellectual resources created at NCAR/UCAR for the advancement of the atmospheric and related sciences. You can reach us at opensky@ucar.edu with any questions.
opencoredata,http://opencoredata.org/sitemap.xml,http://opencoredata.org/id/dataset,,5f72a8ace4b01e808c7f0dcd,18171,,,,https://opencoredata.org/,re2 csdco.umn.edu below,https://opencoredata.org/img/logo22small.png,,Open Core Data is an implementation of the RDA Digital Object Cloud. Open Core Data contains digital objects from the contintental and ocena drilling research projects funded by the National Science Foundation.
magic,https://www2.earthref.org/MagIC/contributions.sitemap.xml,ttps://earthref.org/MagIC ?_escaped_fragment_=,,5f72ae06e4b01e808c802269,4136,TRUE,active,Magnetics Information Consortium (MagIC),https://www.earthref.org/MagIC,changes will help w/further crawl,http://mbobak-ofc.ncsa.illinois.edu/ext/ec/magic/MagIC.png,http://www.re3data.org/repository/r3d100011910,These objects are described using the structured data on the web patterns promoted by the ESIP Science on Schema work. The object landing pages implement FAIR data practices and expose stuctured data in JSON-LD.
neotomadb,http://data.neotomadb.org/sitemap.xml,http://data.neotomadb.org/datasets ?_escaped_fragment_=,,5f727997e4b01e808c7ca6c4,11955,TRUE,inactive,Neotoma,http://www.neotomadb.org/,,https://www.neotomadb.org/images/site_graphics/Packrat.png,http://www.re3data.org/repository/r3d100011761,"Neotoma is a multiproxy paleoecological database that covers the Pliocene-Quaternary, including modern microfossil samples. The database is an international collaborative effort among individuals from 19 institutions, representing multiple constituent databases. There are over 20 data-types within the Neotoma Paleoecological Database, including pollen microfossils, plant macrofossils, vertebrate fauna, diatoms, charcoal, biomarkers, ostracodes, physical sedimentology and water chemistry. Neotoma provides an underlying cyberinfrastructure that enables the development of common software tools for data ingest, discovery, display, analysis, and distribution, while giving domain scientists control over critical taxonomic and other data quality issues. "
earthchem,https://ecl.earthchem.org/sitemap.xml,https://ecl.earthchem.org/view.php?id=,,5f89c5f8e4b0f4e0c0d9e773,639,,,,https://ecl.earthchem.org/home.php,,http://www.earthchem.org/sites/default/files/files/EC_0-1.png,,"Community-driven preservation, discovery, access, and visualization of geochemical, geochronological, and petrological data"
xdomes,https://xdomes.tamucc.edu/srr/sensorML/sitemap.xml,https://xdomes.tamucc.edu/srr/sensorML,,5fa30539e4b097cab4a00169,17,,,,https://xdomes.tamucc.edu/,,https://xdomes.tamucc.edu/images/xdomes_logo.png,,"The 'Cross-Domain Observational Metadata for Environmental Sensing (X-DOMES)' is an NSF/EarthCube project tasked to develop prototypes for the application of standards-based description of environmental sensor metadata, including provenance, that is paramount to automated data discovery, access, archival, processing, as well as quality control and assessment."
resource_registry,https://object.cloud.sdsc.edu/v1/AUTH_85f46aa78936477d8e71b186269414e8/gleaner-summoned,http://earthcube.org/resource_registry,,5f87c52ee4b0a4d76fb2c3ce,274,,,,http://www.earthcube.org/resourceregistry/,ark not resolvable,https://raw.githubusercontent.com/earthcube/webui/master/web/uis/webui2/images/logo_earthcube_full_horizontal_small.png,,"The EarthCube Resource Registry (ECRR) is intended to provide immediate access to a list of EC capabilities to understand what EC is, and what it isn’t. To support this goal, the ECRR project has developed several persistent resources available for wider EarthCube use"
